time_iso8601,stars_cumulative
2018-06-05 00:00:00+00:00,1
2018-07-06 00:00:00+00:00,3
2018-07-10 00:00:00+00:00,4
2018-07-31 00:00:00+00:00,5
2018-08-05 00:00:00+00:00,6
2018-08-30 00:00:00+00:00,8
2018-12-18 00:00:00+00:00,9
2019-01-07 00:00:00+00:00,10
2019-06-12 00:00:00+00:00,11
2019-07-15 00:00:00+00:00,12
2019-08-22 00:00:00+00:00,13
2020-06-28 00:00:00+00:00,14
2020-09-15 00:00:00+00:00,15
2020-10-09 00:00:00+00:00,16
2020-10-15 00:00:00+00:00,17
2020-10-20 00:00:00+00:00,18
2020-10-25 00:00:00+00:00,19
2020-11-08 00:00:00+00:00,20
2021-02-05 00:00:00+00:00,21
2021-02-26 00:00:00+00:00,25
2021-02-27 00:00:00+00:00,26
2021-03-02 00:00:00+00:00,27
2021-03-03 00:00:00+00:00,29
2021-03-05 00:00:00+00:00,30
2021-03-06 00:00:00+00:00,31
2021-03-08 00:00:00+00:00,33
2021-03-09 00:00:00+00:00,34
2021-03-10 00:00:00+00:00,35
2021-03-12 00:00:00+00:00,36
2021-03-13 00:00:00+00:00,37
2021-03-15 00:00:00+00:00,38
2021-03-17 00:00:00+00:00,39
2021-03-22 00:00:00+00:00,40
2021-03-25 00:00:00+00:00,41
2021-03-26 00:00:00+00:00,42
2021-03-27 00:00:00+00:00,43
2021-04-01 00:00:00+00:00,44
2021-04-03 00:00:00+00:00,45
2021-04-04 00:00:00+00:00,46
2021-04-10 00:00:00+00:00,47
2021-04-14 00:00:00+00:00,48
2021-04-16 00:00:00+00:00,50
2021-04-17 00:00:00+00:00,51
2021-05-04 00:00:00+00:00,52
2021-05-06 00:00:00+00:00,53
2021-05-08 00:00:00+00:00,54
2021-05-11 00:00:00+00:00,55
2021-05-18 00:00:00+00:00,57
2021-05-24 00:00:00+00:00,58
2021-06-02 00:00:00+00:00,59
2021-06-04 00:00:00+00:00,60
2021-06-07 00:00:00+00:00,61
2021-06-08 00:00:00+00:00,62
2021-06-09 00:00:00+00:00,64
2021-06-11 00:00:00+00:00,68
2021-06-12 00:00:00+00:00,69
2021-06-14 00:00:00+00:00,70
2021-06-16 00:00:00+00:00,71
2021-06-17 00:00:00+00:00,72
2021-06-22 00:00:00+00:00,76
