time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-10-19 00:00:00+00:00,0,0,55,16
2022-10-20 00:00:00+00:00,23,7,264,91
2022-10-21 00:00:00+00:00,20,7,269,76
2022-10-22 00:00:00+00:00,3,2,46,15
2022-10-23 00:00:00+00:00,0,0,23,12
2022-10-24 00:00:00+00:00,16,7,248,56
2022-10-25 00:00:00+00:00,29,10,286,80
2022-10-26 00:00:00+00:00,29,10,452,75
2022-10-27 00:00:00+00:00,18,6,321,88
2022-10-28 00:00:00+00:00,7,2,140,50
2022-10-29 00:00:00+00:00,1,1,46,16
2022-10-30 00:00:00+00:00,20,5,175,18
2022-10-31 00:00:00+00:00,2,2,368,119
2022-11-01 00:00:00+00:00,15,4,462,111
2022-11-02 00:00:00+00:00,20,11,377,109
2022-11-03 00:00:00+00:00,31,11,407,101
2022-11-04 00:00:00+00:00,27,9,408,82
2022-11-05 00:00:00+00:00,2,2,13,11
2022-11-06 00:00:00+00:00,1,1,71,19
2022-11-07 00:00:00+00:00,29,13,286,84
2022-11-08 00:00:00+00:00,18,14,269,72
2022-11-09 00:00:00+00:00,23,12,250,81
2022-11-10 00:00:00+00:00,8,7,263,64
2022-11-11 00:00:00+00:00,4,4,168,65
2022-11-12 00:00:00+00:00,6,4,65,21
2022-11-13 00:00:00+00:00,5,5,22,15
2022-11-14 00:00:00+00:00,5,5,311,78
2022-11-15 00:00:00+00:00,20,11,230,79
2022-11-16 00:00:00+00:00,16,6,441,107
2022-11-17 00:00:00+00:00,6,3,346,79
2022-11-18 00:00:00+00:00,2,2,211,82
2022-11-19 00:00:00+00:00,1,1,72,16
2022-11-20 00:00:00+00:00,2,2,35,14
2022-11-21 00:00:00+00:00,38,9,282,78
2022-11-22 00:00:00+00:00,94,15,307,94
2022-11-23 00:00:00+00:00,64,12,315,90
2022-11-24 00:00:00+00:00,12,7,182,62
2022-11-25 00:00:00+00:00,5,5,417,67
2022-11-26 00:00:00+00:00,3,3,15,6
2022-11-27 00:00:00+00:00,7,5,19,11
2022-11-28 00:00:00+00:00,3,2,406,89
2022-11-29 00:00:00+00:00,55,11,387,102
2022-11-30 00:00:00+00:00,70,12,444,111
2022-12-01 00:00:00+00:00,37,8,349,101
2022-12-02 00:00:00+00:00,29,8,426,81
2022-12-03 00:00:00+00:00,4,4,24,12
2022-12-04 00:00:00+00:00,3,3,49,18
2022-12-05 00:00:00+00:00,53,7,376,100
2022-12-06 00:00:00+00:00,13,6,306,79
2022-12-07 00:00:00+00:00,27,11,520,121
2022-12-08 00:00:00+00:00,51,5,279,90
2022-12-09 00:00:00+00:00,11,8,257,74
2022-12-10 00:00:00+00:00,5,4,31,10
2022-12-11 00:00:00+00:00,4,4,84,17
2022-12-12 00:00:00+00:00,5,4,229,77
2022-12-13 00:00:00+00:00,8,5,349,74
2022-12-14 00:00:00+00:00,2,2,265,96
2022-12-15 00:00:00+00:00,5,4,351,96
2022-12-16 00:00:00+00:00,7,5,241,82
2022-12-17 00:00:00+00:00,3,3,54,13
2022-12-18 00:00:00+00:00,1,1,53,20
2022-12-19 00:00:00+00:00,7,4,146,65
2022-12-20 00:00:00+00:00,20,9,272,80
2022-12-21 00:00:00+00:00,5,5,199,69
2022-12-22 00:00:00+00:00,3,3,206,60
2022-12-23 00:00:00+00:00,5,5,177,51
2022-12-24 00:00:00+00:00,3,3,33,12
2022-12-25 00:00:00+00:00,3,3,22,9
2022-12-26 00:00:00+00:00,2,2,92,21
2022-12-27 00:00:00+00:00,6,3,177,42
2022-12-28 00:00:00+00:00,3,3,112,38
2022-12-29 00:00:00+00:00,8,4,135,38
2022-12-30 00:00:00+00:00,3,3,147,28
2022-12-31 00:00:00+00:00,2,2,53,7
2023-01-01 00:00:00+00:00,2,2,41,4
2023-01-02 00:00:00+00:00,5,3,295,46
2023-01-03 00:00:00+00:00,12,7,265,66
2023-01-04 00:00:00+00:00,13,9,289,66
2023-01-05 00:00:00+00:00,7,4,369,86
2023-01-06 00:00:00+00:00,6,5,183,73
2023-01-07 00:00:00+00:00,2,2,39,13
2023-01-08 00:00:00+00:00,4,4,42,13
2023-01-09 00:00:00+00:00,7,5,305,93
2023-01-10 00:00:00+00:00,10,7,437,88
2023-01-11 00:00:00+00:00,7,4,518,146
2023-01-12 00:00:00+00:00,17,9,576,218
2023-01-13 00:00:00+00:00,7,7,485,111
2023-01-14 00:00:00+00:00,4,3,37,24
2023-01-15 00:00:00+00:00,2,2,102,31
2023-01-16 00:00:00+00:00,11,5,262,84
2023-01-17 00:00:00+00:00,8,5,394,102
2023-01-18 00:00:00+00:00,8,5,394,125
2023-01-19 00:00:00+00:00,6,4,322,102
2023-01-20 00:00:00+00:00,5,2,440,90
2023-01-21 00:00:00+00:00,3,2,30,14
2023-01-22 00:00:00+00:00,2,2,75,23
2023-01-23 00:00:00+00:00,201,9,386,109
2023-01-24 00:00:00+00:00,12,4,250,91
